Size,Data Type,Run,Execution Time (sec),Comparisons,Exchanges
0,random,1,0.000000,0,0
0,random,2,0.000000,0,0
0,random,3,0.000000,0,0
0,random,4,0.000000,0,0
0,random,5,0.000000,0,0
0,random,6,0.000000,0,0
0,random,7,0.000000,0,0
0,random,8,0.000000,0,0
0,random,9,0.000000,0,0
0,random,10,0.000000,0,0
0,sorted,1,0.000000,0,0
0,sorted,2,0.000000,0,0
0,sorted,3,0.000000,0,0
0,sorted,4,0.000000,0,0
0,sorted,5,0.000000,0,0
0,sorted,6,0.000000,0,0
0,sorted,7,0.000000,0,0
0,sorted,8,0.000000,0,0
0,sorted,9,0.000000,0,0
0,sorted,10,0.000000,0,0
0,reverse_sorted,1,0.000000,0,0
0,reverse_sorted,2,0.000000,0,0
0,reverse_sorted,3,0.000000,0,0
0,reverse_sorted,4,0.000000,0,0
0,reverse_sorted,5,0.000000,0,0
0,reverse_sorted,6,0.000000,0,0
0,reverse_sorted,7,0.000000,0,0
0,reverse_sorted,8,0.000000,0,0
0,reverse_sorted,9,0.000000,0,0
0,reverse_sorted,10,0.000000,0,0
10000,random,1,0.000406,159278,90712
10000,random,2,0.000410,159278,90712
10000,random,3,0.000404,159278,90712
10000,random,4,0.000400,159278,90712
10000,random,5,0.000393,159278,90712
10000,random,6,0.000396,159278,90712
10000,random,7,0.000395,159278,90712
10000,random,8,0.000397,159278,90712
10000,random,9,0.000396,159278,90712
10000,random,10,0.000393,159278,90712
10000,sorted,1,0.037349,49995000,50004999
10000,sorted,2,0.036847,49995000,50004999
10000,sorted,3,0.036901,49995000,50004999
10000,sorted,4,0.036948,49995000,50004999
10000,sorted,5,0.036761,49995000,50004999
10000,sorted,6,0.036686,49995000,50004999
10000,sorted,7,0.036706,49995000,50004999
10000,sorted,8,0.036751,49995000,50004999
10000,sorted,9,0.036638,49995000,50004999
10000,sorted,10,0.036871,49995000,50004999
10000,reverse_sorted,1,0.030143,49995000,25004999
10000,reverse_sorted,2,0.029952,49995000,25004999
10000,reverse_sorted,3,0.029959,49995000,25004999
10000,reverse_sorted,4,0.029955,49995000,25004999
10000,reverse_sorted,5,0.029915,49995000,25004999
10000,reverse_sorted,6,0.029940,49995000,25004999
10000,reverse_sorted,7,0.029930,49995000,25004999
10000,reverse_sorted,8,0.029874,49995000,25004999
10000,reverse_sorted,9,0.029900,49995000,25004999
10000,reverse_sorted,10,0.029917,49995000,25004999
20000,random,1,0.000784,342526,178796
20000,random,2,0.000777,342526,178796
20000,random,3,0.000770,342526,178796
20000,random,4,0.000820,342526,178796
20000,random,5,0.000768,342526,178796
20000,random,6,0.000767,342526,178796
20000,random,7,0.000766,342526,178796
20000,random,8,0.000767,342526,178796
20000,random,9,0.000768,342526,178796
20000,random,10,0.000765,342526,178796
20000,sorted,1,0.147531,199990000,200009999
20000,sorted,2,0.151460,199990000,200009999
20000,sorted,3,0.147984,199990000,200009999
20000,sorted,4,0.146934,199990000,200009999
20000,sorted,5,0.147292,199990000,200009999
20000,sorted,6,0.148575,199990000,200009999
20000,sorted,7,0.147852,199990000,200009999
20000,sorted,8,0.147312,199990000,200009999
20000,sorted,9,0.147650,199990000,200009999
20000,sorted,10,0.147585,199990000,200009999
20000,reverse_sorted,1,0.120730,199990000,100009999
20000,reverse_sorted,2,0.123281,199990000,100009999
20000,reverse_sorted,3,0.121103,199990000,100009999
20000,reverse_sorted,4,0.121518,199990000,100009999
20000,reverse_sorted,5,0.120027,199990000,100009999
20000,reverse_sorted,6,0.121527,199990000,100009999
20000,reverse_sorted,7,0.121152,199990000,100009999
20000,reverse_sorted,8,0.120000,199990000,100009999
20000,reverse_sorted,9,0.120138,199990000,100009999
20000,reverse_sorted,10,0.120232,199990000,100009999
30000,random,1,0.001234,504572,254581
30000,random,2,0.001214,504572,254581
30000,random,3,0.001275,504572,254581
30000,random,4,0.001215,504572,254581
30000,random,5,0.001313,504572,254581
30000,random,6,0.001226,504572,254581
30000,random,7,0.001318,504572,254581
30000,random,8,0.001209,504572,254581
30000,random,9,0.001371,504572,254581
30000,random,10,0.001321,504572,254581
30000,sorted,1,0.336102,449985000,450014999
30000,sorted,2,0.335282,449985000,450014999
30000,sorted,3,0.337053,449985000,450014999
30000,sorted,4,0.335753,449985000,450014999
30000,sorted,5,0.335244,449985000,450014999
30000,sorted,6,0.334932,449985000,450014999
30000,sorted,7,0.334746,449985000,450014999
30000,sorted,8,0.334719,449985000,450014999
30000,sorted,9,0.334361,449985000,450014999
30000,sorted,10,0.334759,449985000,450014999
30000,reverse_sorted,1,0.270809,449985000,225014999
30000,reverse_sorted,2,0.272374,449985000,225014999
30000,reverse_sorted,3,0.270268,449985000,225014999
30000,reverse_sorted,4,0.272985,449985000,225014999
30000,reverse_sorted,5,0.270195,449985000,225014999
30000,reverse_sorted,6,0.270438,449985000,225014999
30000,reverse_sorted,7,0.270641,449985000,225014999
30000,reverse_sorted,8,0.272290,449985000,225014999
30000,reverse_sorted,9,0.270980,449985000,225014999
30000,reverse_sorted,10,0.270684,449985000,225014999
40000,random,1,0.001683,767241,408508
40000,random,2,0.001677,767241,408508
40000,random,3,0.001696,767241,408508
40000,random,4,0.001703,767241,408508
40000,random,5,0.001780,767241,408508
40000,random,6,0.001656,767241,408508
40000,random,7,0.001745,767241,408508
40000,random,8,0.001698,767241,408508
40000,random,9,0.001706,767241,408508
40000,random,10,0.001959,767241,408508
40000,sorted,1,0.594870,799980000,800019999
40000,sorted,2,0.593756,799980000,800019999
40000,sorted,3,0.595612,799980000,800019999
40000,sorted,4,0.593572,799980000,800019999
40000,sorted,5,0.594105,799980000,800019999
40000,sorted,6,0.597850,799980000,800019999
40000,sorted,7,0.598312,799980000,800019999
40000,sorted,8,0.594117,799980000,800019999
40000,sorted,9,0.594534,799980000,800019999
40000,sorted,10,0.596770,799980000,800019999
40000,reverse_sorted,1,0.483361,799980000,400019999
40000,reverse_sorted,2,0.484028,799980000,400019999
40000,reverse_sorted,3,0.483839,799980000,400019999
40000,reverse_sorted,4,0.486972,799980000,400019999
40000,reverse_sorted,5,0.483342,799980000,400019999
40000,reverse_sorted,6,0.485334,799980000,400019999
40000,reverse_sorted,7,0.487507,799980000,400019999
40000,reverse_sorted,8,0.483880,799980000,400019999
40000,reverse_sorted,9,0.483512,799980000,400019999
40000,reverse_sorted,10,0.483518,799980000,400019999
50000,random,1,0.002125,943680,494675
50000,random,2,0.002114,943680,494675
50000,random,3,0.002109,943680,494675
50000,random,4,0.002114,943680,494675
50000,random,5,0.002123,943680,494675
50000,random,6,0.002181,943680,494675
50000,random,7,0.002125,943680,494675
50000,random,8,0.002372,943680,494675
50000,random,9,0.002091,943680,494675
50000,random,10,0.002104,943680,494675
50000,sorted,1,0.933855,1249975000,1250024999
50000,sorted,2,0.936000,1249975000,1250024999
50000,sorted,3,0.936868,1249975000,1250024999
50000,sorted,4,0.935414,1249975000,1250024999
50000,sorted,5,0.949613,1249975000,1250024999
50000,sorted,6,0.937963,1249975000,1250024999
50000,sorted,7,0.936565,1249975000,1250024999
50000,sorted,8,0.940944,1249975000,1250024999
50000,sorted,9,0.938433,1249975000,1250024999
50000,sorted,10,0.936148,1249975000,1250024999
50000,reverse_sorted,1,0.757446,1249975000,625024999
50000,reverse_sorted,2,0.762513,1249975000,625024999
50000,reverse_sorted,3,0.779298,1249975000,625024999
50000,reverse_sorted,4,0.755036,1249975000,625024999
50000,reverse_sorted,5,0.762670,1249975000,625024999
50000,reverse_sorted,6,0.757264,1249975000,625024999
50000,reverse_sorted,7,0.760407,1249975000,625024999
50000,reverse_sorted,8,0.755971,1249975000,625024999
50000,reverse_sorted,9,0.760826,1249975000,625024999
50000,reverse_sorted,10,0.759628,1249975000,625024999
60000,random,1,0.002666,1138090,597181
60000,random,2,0.002914,1138090,597181
60000,random,3,0.002665,1138090,597181
60000,random,4,0.002644,1138090,597181
60000,random,5,0.002594,1138090,597181
60000,random,6,0.002603,1138090,597181
60000,random,7,0.002598,1138090,597181
60000,random,8,0.002615,1138090,597181
60000,random,9,0.002620,1138090,597181
60000,random,10,0.002589,1138090,597181
60000,sorted,1,1.374846,1799970000,1800029999
60000,sorted,2,1.344650,1799970000,1800029999
60000,sorted,3,1.343043,1799970000,1800029999
60000,sorted,4,1.342543,1799970000,1800029999
60000,sorted,5,1.352728,1799970000,1800029999
60000,sorted,6,1.352702,1799970000,1800029999
60000,sorted,7,1.347494,1799970000,1800029999
60000,sorted,8,1.342739,1799970000,1800029999
60000,sorted,9,1.343284,1799970000,1800029999
60000,sorted,10,1.342726,1799970000,1800029999
60000,reverse_sorted,1,1.095018,1799970000,900029999
60000,reverse_sorted,2,1.115335,1799970000,900029999
60000,reverse_sorted,3,1.102831,1799970000,900029999
60000,reverse_sorted,4,1.095488,1799970000,900029999
60000,reverse_sorted,5,1.098109,1799970000,900029999
60000,reverse_sorted,6,1.096233,1799970000,900029999
60000,reverse_sorted,7,1.092127,1799970000,900029999
60000,reverse_sorted,8,1.114017,1799970000,900029999
60000,reverse_sorted,9,1.092314,1799970000,900029999
60000,reverse_sorted,10,1.098131,1799970000,900029999
70000,random,1,0.003086,1457477,753960
70000,random,2,0.003275,1457477,753960
70000,random,3,0.003137,1457477,753960
70000,random,4,0.003278,1457477,753960
70000,random,5,0.003111,1457477,753960
70000,random,6,0.003182,1457477,753960
70000,random,7,0.003560,1457477,753960
70000,random,8,0.003526,1457477,753960
70000,random,9,0.003060,1457477,753960
70000,random,10,0.003159,1457477,753960
70000,sorted,1,1.828534,2449965000,2450034999
70000,sorted,2,1.836004,2449965000,2450034999
70000,sorted,3,1.845248,2449965000,2450034999
70000,sorted,4,1.830721,2449965000,2450034999
70000,sorted,5,1.825114,2449965000,2450034999
70000,sorted,6,1.827708,2449965000,2450034999
70000,sorted,7,1.864920,2449965000,2450034999
70000,sorted,8,1.835390,2449965000,2450034999
70000,sorted,9,1.827734,2449965000,2450034999
70000,sorted,10,1.828637,2449965000,2450034999
70000,reverse_sorted,1,1.528364,2449965000,1225034999
70000,reverse_sorted,2,1.508263,2449965000,1225034999
70000,reverse_sorted,3,1.493665,2449965000,1225034999
70000,reverse_sorted,4,1.489039,2449965000,1225034999
70000,reverse_sorted,5,1.491108,2449965000,1225034999
70000,reverse_sorted,6,1.492593,2449965000,1225034999
70000,reverse_sorted,7,1.489330,2449965000,1225034999
70000,reverse_sorted,8,1.484720,2449965000,1225034999
70000,reverse_sorted,9,1.486141,2449965000,1225034999
70000,reverse_sorted,10,1.488942,2449965000,1225034999
80000,random,1,0.003723,1638961,833676
80000,random,2,0.004030,1638961,833676
80000,random,3,0.004078,1638961,833676
80000,random,4,0.004116,1638961,833676
80000,random,5,0.004164,1638961,833676
80000,random,6,0.004171,1638961,833676
80000,random,7,0.004166,1638961,833676
80000,random,8,0.004010,1638961,833676
80000,random,9,0.003707,1638961,833676
80000,random,10,0.003665,1638961,833676
80000,sorted,1,2.397682,3199960000,3200039999
80000,sorted,2,2.392392,3199960000,3200039999
80000,sorted,3,2.394055,3199960000,3200039999
80000,sorted,4,2.392005,3199960000,3200039999
80000,sorted,5,2.393044,3199960000,3200039999
80000,sorted,6,2.393536,3199960000,3200039999
80000,sorted,7,2.397219,3199960000,3200039999
80000,sorted,8,2.394106,3199960000,3200039999
80000,sorted,9,2.392492,3199960000,3200039999
80000,sorted,10,2.397179,3199960000,3200039999
80000,reverse_sorted,1,1.940062,3199960000,1600039999
80000,reverse_sorted,2,1.941827,3199960000,1600039999
80000,reverse_sorted,3,1.958878,3199960000,1600039999
80000,reverse_sorted,4,1.946337,3199960000,1600039999
80000,reverse_sorted,5,1.940741,3199960000,1600039999
80000,reverse_sorted,6,1.938467,3199960000,1600039999
80000,reverse_sorted,7,1.940693,3199960000,1600039999
80000,reverse_sorted,8,1.943599,3199960000,1600039999
80000,reverse_sorted,9,1.943923,3199960000,1600039999
80000,reverse_sorted,10,1.938476,3199960000,1600039999
90000,random,1,0.004531,1887253,977197
90000,random,2,0.004143,1887253,977197
90000,random,3,0.004028,1887253,977197
90000,random,4,0.004231,1887253,977197
90000,random,5,0.004253,1887253,977197
90000,random,6,0.004365,1887253,977197
90000,random,7,0.004134,1887253,977197
90000,random,8,0.004179,1887253,977197
90000,random,9,0.004066,1887253,977197
90000,random,10,0.004196,1887253,977197
90000,sorted,1,3.024835,4049955000,4050044999
90000,sorted,2,3.044251,4049955000,4050044999
90000,sorted,3,3.025417,4049955000,4050044999
90000,sorted,4,3.024571,4049955000,4050044999
90000,sorted,5,3.034522,4049955000,4050044999
90000,sorted,6,3.021797,4049955000,4050044999
90000,sorted,7,3.056211,4049955000,4050044999
90000,sorted,8,3.026584,4049955000,4050044999
90000,sorted,9,3.051999,4049955000,4050044999
90000,sorted,10,3.027844,4049955000,4050044999
90000,reverse_sorted,1,2.456328,4049955000,2025044999
90000,reverse_sorted,2,2.487836,4049955000,2025044999
90000,reverse_sorted,3,2.461809,4049955000,2025044999
90000,reverse_sorted,4,2.453935,4049955000,2025044999
90000,reverse_sorted,5,2.494328,4049955000,2025044999
90000,reverse_sorted,6,2.459475,4049955000,2025044999
90000,reverse_sorted,7,2.450775,4049955000,2025044999
90000,reverse_sorted,8,2.472796,4049955000,2025044999
90000,reverse_sorted,9,2.451015,4049955000,2025044999
90000,reverse_sorted,10,2.494190,4049955000,2025044999
100000,random,1,0.005114,1962679,1045573
100000,random,2,0.004995,1962679,1045573
100000,random,3,0.004603,1962679,1045573
100000,random,4,0.004755,1962679,1045573
100000,random,5,0.004716,1962679,1045573
100000,random,6,0.004652,1962679,1045573
100000,random,7,0.004657,1962679,1045573
100000,random,8,0.004716,1962679,1045573
100000,random,9,0.004636,1962679,1045573
100000,random,10,0.005072,1962679,1045573
100000,sorted,1,3.729691,4999950000,5000049999
100000,sorted,2,3.745463,4999950000,5000049999
100000,sorted,3,3.742137,4999950000,5000049999
100000,sorted,4,3.731140,4999950000,5000049999
100000,sorted,5,3.728923,4999950000,5000049999
100000,sorted,6,3.743853,4999950000,5000049999
100000,sorted,7,3.733893,4999950000,5000049999
100000,sorted,8,3.732747,4999950000,5000049999
100000,sorted,9,3.733870,4999950000,5000049999
100000,sorted,10,3.727461,4999950000,5000049999
100000,reverse_sorted,1,3.031621,4999950000,2500049999
100000,reverse_sorted,2,3.029457,4999950000,2500049999
100000,reverse_sorted,3,3.035113,4999950000,2500049999
100000,reverse_sorted,4,3.026345,4999950000,2500049999
100000,reverse_sorted,5,3.033942,4999950000,2500049999
100000,reverse_sorted,6,3.026741,4999950000,2500049999
100000,reverse_sorted,7,3.031726,4999950000,2500049999
100000,reverse_sorted,8,3.027722,4999950000,2500049999
100000,reverse_sorted,9,3.039881,4999950000,2500049999
100000,reverse_sorted,10,3.053135,4999950000,2500049999
